mapping_id,fos_sheet,fos_sector,fos_product_group,fos_product_type,suggested_fca_product_group,suggestion_basis,review_decision,approved_fca_product_group,reviewer,reviewed_at,review_comment
FOS-2D98E5E812,Banking and Credit,Banking and Payments,Banking Services,CHAPS Payments,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-8CE5BB6200,Banking and Credit,Banking and Payments,Banking Services,Executorships or Trusteeships,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-A1ACB13D1B,Banking and Credit,Banking and Payments,Banking Services,Foreign Currency,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-D68BCB578F,Banking and Credit,Banking and Payments,Banking Services,International Transfers,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-DE0FB12F13,Banking and Credit,Banking and Payments,Banking Services,Safe Custody,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-B5F1611AE2,Banking and Credit,Banking and Payments,Business Banking,Business Current Accounts,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-0F500556A8,Banking and Credit,Banking and Payments,Business Banking,Commercial Lending,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-F8EF7A81C0,Banking and Credit,Banking and Payments,Business Banking,Merchant Services,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-68063C4259,Banking and Credit,Banking and Payments,Business Lending,Bounce Back Loans (BBLS),banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-A30110B193,Banking and Credit,Banking and Payments,Business Lending,Business Loans (Not Secured on Land),banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-0E0FE3F916,Banking and Credit,Banking and Payments,Business Lending,Commercial Mortgages,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-1DC96ADC3D,Banking and Credit,Banking and Payments,Business Lending,Coronavirus Business Interruption Loans (CBILS),banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-7AF04BC8D9,Banking and Credit,Banking and Payments,Business Lending,Recovery Loans (RLS),banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
FOS-995CAD3FED,Banking and Credit,Banking and Payments,Credit Card Accounts,Balance Transfers,banking_and_credit_cards,banking_or_payment_keyword,pending_review,,,,
