suggestion_id,decision,reviewer,reviewed_at,reviewer_comment
MATCH-37AAEB2D3EA7,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-AEEB88B2B6DF,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-6FAFB1DFB7C0,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-20D73F886706,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-F7B839FEDF9E,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-778A31D7943B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-42230F3D6826,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-395147E13F87,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-94D771C47F26,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-723285F015F4,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-5B980604F420,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3849A363955D,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-172257E3563B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-65C1A3FF4282,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3DA806304833,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-05AA04E4BEA2,approved,Codex,2026-07-18,Formatting-only legal-name variant with one unique locally evidenced FRN.
MATCH-EF4D51E1F2C1,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-1F80C44E39F4,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-B42FB3088D46,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-4E4F7259A9D9,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-5444D34F2EFC,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-30A8E9BA7438,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-4ACB84C1B2C5,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3A4DE5640A17,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-DE266D131006,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-71FD1475FABB,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-6D2C6FEC425A,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-B2E0BD12CD3F,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-627227627BC0,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-DC2223F20850,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-7B61DF06C56D,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-903510892820,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C7172D24BDCC,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-82090BB10CD8,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-62F20DEC0F23,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-59D8D2F0A53D,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-B0C92CD16DE5,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-122EDF84B806,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-89AEF33B32C6,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-D58662558095,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-CD582593AC63,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-6D46AE02FA10,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-A329989894F6,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-C7A197DFB389,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-8A9195EBE5F6,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-EDA57411257B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-0AB55CF42DED,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-179892FDD389,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-721E447346EF,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-74E5BCFCA620,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-B3896527CE00,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-76D1005CF256,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-8DDD8DA5B563,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3B9126CD3C65,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-766253C258A9,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3811628837EA,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-AC02A7B4ACA8,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-151D3B6A17AF,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-AA61B4030858,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-8AE7A760B451,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-BF5921AA2527,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-807FF92D2FA4,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-7420E91B4903,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-4077EC0E9A67,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-EC82A2017950,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-FF3EFDC669B5,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-4FACAB72147D,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-1FAC4063046D,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-1265A700EAE1,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-2AD58A88AF9A,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-43C6E8330199,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-CF5EAD5D8AD2,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-4D27D71768DC,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-FE2FC57209B8,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-01C31B7C93C7,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-73E8138DB5E8,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-6461823C947F,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-9CA1B970274A,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-B8F3B4D7FE9A,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-BE3EB47A04EA,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-5CFFFB161662,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-4FC9AB3144AC,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-D581DE2DD745,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-7A016DCF9E7B,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-252B484A609E,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-3076C6ED0C85,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-62634034D0CB,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-DBE18B7797E2,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-CEEB443EB1BB,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
MATCH-A3CCEAB28119,unresolved,Codex,2026-07-18,Similarity and local evidence are insufficient to establish historical legal identity; no match applied.
