canonical_sheet,output_entity,metric_name,measurement_unit
opened,complaint_metric,complaints_opened,count
closed,complaint_metric,complaints_closed,count
percentage_within_3_days,complaint_metric,closed_within_3_days,percentage
percentage_after_3_days_within_8_weeks,complaint_metric,closed_after_3_days_within_8_weeks,percentage
percentage_upheld,complaint_metric,complaints_upheld,percentage
context_provision,complaint_metric,complaints_in_context,context_rate
context_intermediation,complaint_metric,complaints_in_context,context_rate
consumer_credit,consumer_credit_metric,consumer_credit,mixed_by_column
trading_names,firm_alias,other_trading_name,text
main_return_joint_reporters,joint_reporter,main_return,text
consumer_credit_joint_reporters,joint_reporter,consumer_credit,text
notes,product_reference,product_taxonomy,text
