firm_key,reporting_period,source_reporting_period,product_group,display_firm_name,resolved_frn,observation_start,observation_end,eligible_rule_count,triggered_rule_count,persistent_rule_count,triggered_rule_ids,uncapped_base_warning_score,base_warning_score,family_score_evidence,point_cap_reduction,persistence_bonus,warning_score,coverage_status,priority_band,methodology_id,methodology_status,independent_signal_family_count,triggered_signal_families,persistent_trigger_ids,complaints_opened_count,complaints_closed_count,complaints_upheld_pct,closed_within_8_weeks_pct,context_provision_rate,context_intermediation_rate,identity_match_status,previous_sample_review_outcome,previous_sample_review_comment,review_flags,review_disposition,review_comment,source_check_status,resolved_disposition,source_check_resolution,source_check_evidence,review_method,reviewer,reviewed_at,business_approval_status
FRN:106078,2023-H1,2022-10-01 to 2023-04-04,insurance_and_pure_protection,Nationwide Building Society,106078.0,2022-10-01,2023-04-04,7,3,1,CTX_INTERMEDIATION_DETERIORATION|OPENED_EXCEPTIONAL_GROWTH|OVER_8_WEEKS_HIGH,7,7,"{""complaint_outcome"": {""cap"": 4, ""capped_points"": 0, ""uncapped_points"": 0}, ""context_rate"": {""cap"": 4, ""capped_points"": 2, ""uncapped_points"": 2}, ""timeliness"": {""cap"": 3, ""capped_points"": 3, ""uncapped_points"": 3}, ""volume_pressure"": {""cap"": 2, ""capped_points"": 2, ""uncapped_points"": 2}}",0,1,8,broad,priority_review,fca_complaint_early_warning_v2_candidate,analytical_candidate_pending_business_review,3,context_rate|timeliness|volume_pressure,OVER_8_WEEKS_HIGH,542.0,277.0,0.2779783393501805,0.7292418772563176,,12.33,matched,,,,retain_priority_review,"Score 8 from 3 rules across 3 independent signal families (context_rate|timeliness|volume_pressure). Persistent rules: OVER_8_WEEKS_HIGH. Multiple or reinforced signals support retaining priority-review status. This is prioritisation evidence, not a harm finding.",,,,,structured_analytical_review_v1,Codex,2026-07-20,pending_business_review
FRN:106081,2022-H1,2022-01-01 to 2022-06-30,home_finance,Landmark Mortgages Limited,106081.0,2022-01-01,2022-06-30,7,3,1,CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH|OVER_8_WEEKS_HIGH,8,7,"{""complaint_outcome"": {""cap"": 4, ""capped_points"": 0, ""uncapped_points"": 0}, ""context_rate"": {""cap"": 4, ""capped_points"": 4, ""uncapped_points"": 5}, ""timeliness"": {""cap"": 3, ""capped_points"": 3, ""uncapped_points"": 3}, ""volume_pressure"": {""cap"": 2, ""capped_points"": 0, ""uncapped_points"": 0}}",1,1,8,broad,priority_review,fca_complaint_early_warning_v2_candidate,analytical_candidate_pending_business_review,2,context_rate|timeliness,OVER_8_WEEKS_HIGH,873.0,881.0,0.479,0.8343,24.64,,matched,,,,retain_priority_review_borderline,"Score 8 from 3 rules across 2 independent signal families (context_rate|timeliness). Persistent rules: OVER_8_WEEKS_HIGH. This is an exact-boundary case supported by two distinct families; retain for review but rank below stronger priority cases. This is prioritisation evidence, not a harm finding.",,,,,structured_analytical_review_v1,Codex,2026-07-20,pending_business_review
FRN:106081,2023-H1,2023-01-01 to 2023-06-30,home_finance,Landmark Mortgages Limited,106081.0,2023-01-01,2023-06-30,7,3,2,CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH|OVER_8_WEEKS_HIGH,8,7,"{""complaint_outcome"": {""cap"": 4, ""capped_points"": 0, ""uncapped_points"": 0}, ""context_rate"": {""cap"": 4, ""capped_points"": 4, ""uncapped_points"": 5}, ""timeliness"": {""cap"": 3, ""capped_points"": 3, ""uncapped_points"": 3}, ""volume_pressure"": {""cap"": 2, ""capped_points"": 0, ""uncapped_points"": 0}}",1,2,9,broad,priority_review,fca_complaint_early_warning_v2_candidate,analytical_candidate_pending_business_review,2,context_rate|timeliness,CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH,1331.0,1294.0,0.4984544049459041,0.6785162287480679,45.5,,matched,,,,retain_priority_review,"Score 9 from 3 rules across 2 independent signal families (context_rate|timeliness). Persistent rules: CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH. Multiple or reinforced signals support retaining priority-review status. This is prioritisation evidence, not a harm finding.",,,,,structured_analytical_review_v1,Codex,2026-07-20,pending_business_review
FRN:106081,2023-H2,2023-07-01 to 2023-12-31,home_finance,Landmark Mortgages Limited,106081.0,2023-07-01,2023-12-31,7,2,2,CTX_PROVISION_PEER_HIGH|OVER_8_WEEKS_HIGH,6,6,"{""complaint_outcome"": {""cap"": 4, ""capped_points"": 0, ""uncapped_points"": 0}, ""context_rate"": {""cap"": 4, ""capped_points"": 3, ""uncapped_points"": 3}, ""timeliness"": {""cap"": 3, ""capped_points"": 3, ""uncapped_points"": 3}, ""volume_pressure"": {""cap"": 2, ""capped_points"": 0, ""uncapped_points"": 0}}",0,2,8,broad,priority_review,fca_complaint_early_warning_v2_candidate,analytical_candidate_pending_business_review,2,context_rate|timeliness,CTX_PROVISION_PEER_HIGH|OVER_8_WEEKS_HIGH,1033.0,1247.0,0.4747,0.7313000000000001,38.68,,matched,,,,retain_priority_review_borderline,"Score 8 from 2 rules across 2 independent signal families (context_rate|timeliness). Persistent rules: CTX_PROVISION_PEER_HIGH|OVER_8_WEEKS_HIGH. This is an exact-boundary case supported by two distinct families; retain for review but rank below stronger priority cases. This is prioritisation evidence, not a harm finding.",,,,,structured_analytical_review_v1,Codex,2026-07-20,pending_business_review
FRN:110035,2021-H2,2021-07-01 to 2021-12-31,investments,Liverpool Victoria Financial Services Limited,110035.0,2021-07-01,2021-12-31,7,3,1,CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH,8,7,"{""complaint_outcome"": {""cap"": 4, ""capped_points"": 3, ""uncapped_points"": 3}, ""context_rate"": {""cap"": 4, ""capped_points"": 4, ""uncapped_points"": 5}, ""timeliness"": {""cap"": 3, ""capped_points"": 0, ""uncapped_points"": 0}, ""volume_pressure"": {""cap"": 2, ""capped_points"": 0, ""uncapped_points"": 0}}",1,1,8,broad,priority_review,fca_complaint_early_warning_v2_candidate,analytical_candidate_pending_business_review,2,complaint_outcome|context_rate,UPHELD_PEER_HIGH,394.0,385.0,0.87,0.943,5.88,,matched,,,,retain_priority_review_borderline,"Score 8 from 3 rules across 2 independent signal families (complaint_outcome|context_rate). Persistent rules: UPHELD_PEER_HIGH. This is an exact-boundary case supported by two distinct families; retain for review but rank below stronger priority cases. This is prioritisation evidence, not a harm finding.",,,,,structured_analytical_review_v1,Codex,2026-07-20,pending_business_review
FRN:110035,2022-H1,2022-01-01 to 2022-06-30,investments,Liverpool Victoria Financial Services Limited,110035.0,2022-01-01,2022-06-30,7,4,3,CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH|UPHELD_DETERIORATION|UPHELD_PEER_HIGH,10,8,"{""complaint_outcome"": {""cap"": 4, ""capped_points"": 4, ""uncapped_points"": 5}, ""context_rate"": {""cap"": 4, ""capped_points"": 4, ""uncapped_points"": 5}, ""timeliness"": {""cap"": 3, ""capped_points"": 0, ""uncapped_points"": 0}, ""volume_pressure"": {""cap"": 2, ""capped_points"": 0, ""uncapped_points"": 0}}",2,2,10,broad,priority_review,fca_complaint_early_warning_v2_candidate,analytical_candidate_pending_business_review,2,complaint_outcome|context_rate,CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH,545.0,528.0,0.9205,0.9451,8.45,,matched,,,,retain_priority_review,"Score 10 from 4 rules across 2 independent signal families (complaint_outcome|context_rate). Persistent rules: CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH. Multiple or reinforced signals support retaining priority-review status. This is prioritisation evidence, not a harm finding.",,,,,structured_analytical_review_v1,Codex,2026-07-20,pending_business_review
FRN:110035,2022-H2,2022-07-01 to 2022-12-31,investments,Liverpool Victoria Financial Services Limited,110035.0,2022-07-01,2022-12-31,7,3,3,CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH,8,7,"{""complaint_outcome"": {""cap"": 4, ""capped_points"": 3, ""uncapped_points"": 3}, ""context_rate"": {""cap"": 4, ""capped_points"": 4, ""uncapped_points"": 5}, ""timeliness"": {""cap"": 3, ""capped_points"": 0, ""uncapped_points"": 0}, ""volume_pressure"": {""cap"": 2, ""capped_points"": 0, ""uncapped_points"": 0}}",1,2,9,broad,priority_review,fca_complaint_early_warning_v2_candidate,analytical_candidate_pending_business_review,2,complaint_outcome|context_rate,CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH,778.0,792.0,0.9558,0.976,12.72,,matched,,,,retain_priority_review,"Score 9 from 3 rules across 2 independent signal families (complaint_outcome|context_rate). Persistent rules: CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH. Multiple or reinforced signals support retaining priority-review status. This is prioritisation evidence, not a harm finding.",,,,,structured_analytical_review_v1,Codex,2026-07-20,pending_business_review
FRN:110035,2023-H1,2023-01-01 to 2023-06-30,decumulation_and_pensions,Liverpool Victoria Financial Services Limited,110035.0,2023-01-01,2023-06-30,7,3,1,CTX_PROVISION_DETERIORATION|CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH,8,7,"{""complaint_outcome"": {""cap"": 4, ""capped_points"": 3, ""uncapped_points"": 3}, ""context_rate"": {""cap"": 4, ""capped_points"": 4, ""uncapped_points"": 5}, ""timeliness"": {""cap"": 3, ""capped_points"": 0, ""uncapped_points"": 0}, ""volume_pressure"": {""cap"": 2, ""capped_points"": 0, ""uncapped_points"": 0}}",1,1,8,broad,priority_review,fca_complaint_early_warning_v2_candidate,analytical_candidate_pending_business_review,2,complaint_outcome|context_rate,UPHELD_PEER_HIGH,903.0,911.0,0.8441273326015367,0.8748627881448956,5.12,,matched,,,,retain_priority_review_borderline,"Score 8 from 3 rules across 2 independent signal families (complaint_outcome|context_rate). Persistent rules: UPHELD_PEER_HIGH. This is an exact-boundary case supported by two distinct families; retain for review but rank below stronger priority cases. This is prioritisation evidence, not a harm finding.",,,,,structured_analytical_review_v1,Codex,2026-07-20,pending_business_review
FRN:110035,2023-H1,2023-01-01 to 2023-06-30,investments,Liverpool Victoria Financial Services Limited,110035.0,2023-01-01,2023-06-30,7,2,2,CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH,6,6,"{""complaint_outcome"": {""cap"": 4, ""capped_points"": 3, ""uncapped_points"": 3}, ""context_rate"": {""cap"": 4, ""capped_points"": 3, ""uncapped_points"": 3}, ""timeliness"": {""cap"": 3, ""capped_points"": 0, ""uncapped_points"": 0}, ""volume_pressure"": {""cap"": 2, ""capped_points"": 0, ""uncapped_points"": 0}}",0,2,8,broad,priority_review,fca_complaint_early_warning_v2_candidate,analytical_candidate_pending_business_review,2,complaint_outcome|context_rate,CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH,473.0,472.0,0.913135593220339,0.9364406779661016,8.19,,matched,,,,retain_priority_review_borderline,"Score 8 from 2 rules across 2 independent signal families (complaint_outcome|context_rate). Persistent rules: CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH. This is an exact-boundary case supported by two distinct families; retain for review but rank below stronger priority cases. This is prioritisation evidence, not a harm finding.",,,,,structured_analytical_review_v1,Codex,2026-07-20,pending_business_review
FRN:110035,2023-H2,2023-07-01 to 2023-12-31,investments,Liverpool Victoria Financial Services Limited,110035.0,2023-07-01,2023-12-31,7,2,2,CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH,6,6,"{""complaint_outcome"": {""cap"": 4, ""capped_points"": 3, ""uncapped_points"": 3}, ""context_rate"": {""cap"": 4, ""capped_points"": 3, ""uncapped_points"": 3}, ""timeliness"": {""cap"": 3, ""capped_points"": 0, ""uncapped_points"": 0}, ""volume_pressure"": {""cap"": 2, ""capped_points"": 0, ""uncapped_points"": 0}}",0,2,8,broad,priority_review,fca_complaint_early_warning_v2_candidate,analytical_candidate_pending_business_review,2,complaint_outcome|context_rate,CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH,472.0,482.0,0.9087,0.9709,8.78,,matched,,,,retain_priority_review_borderline,"Score 8 from 2 rules across 2 independent signal families (complaint_outcome|context_rate). Persistent rules: CTX_PROVISION_PEER_HIGH|UPHELD_PEER_HIGH. This is an exact-boundary case supported by two distinct families; retain for review but rank below stronger priority cases. This is prioritisation evidence, not a harm finding.",,,,,structured_analytical_review_v1,Codex,2026-07-20,pending_business_review
