source_id,source_name,source_file_name,reporting_period,file_path,file_format,file_size_bytes,sha256_hash,ingestion_timestamp,sheet_count,sheet_names,processing_status,rows_extracted,rows_rejected,warning_count,source_version,revision_note
fca_firm_level_2021_h1,FCA firm-level complaints,firm-level-complaints-data-2021-h1.xlsx,2021-H1,raw/fca/firm_level/firm-level-complaints-data-2021-h1.xlsx,xlsx,207788,6d27176e000a16bc60467b69e4b05040db0d4d1bf6a45a325894ba57a7e59768,2026-07-24T10:19:42.829561+00:00,12,"[""Context (Provision)"", ""Context (Intermediation)"", ""Opened"", ""Closed"", ""Closed within 3 days"", ""After 3 days within 8 weeks"", ""Upheld"", ""Consumer Credit"", ""Trading names"", ""Main return Joint reporters"", ""Consumer credit Joint reporters"", ""Notes""]",success,1977,0,2,2021-H1,
fca_firm_level_2021_h2,FCA firm-level complaints,firm-level-complaints-data-2021-h2.xlsx,2021-H2,raw/fca/firm_level/firm-level-complaints-data-2021-h2.xlsx,xlsx,127101,8303b980ddb9cfe887f434da7184363f9c2408201fa76e7877abd1573dbf668f,2026-07-24T10:19:42.829561+00:00,12,"[""Context - Provision"", ""Context - Intermediation"", ""Opened"", ""Closed"", ""Closed within 3 days"", ""After 3 days within 8 weeks"", ""Upheld"", ""Consumer Credit"", ""Trading names"", ""Main return Joint reporters"", ""Consumer credit Joint reporters"", ""Notes""]",success,1852,0,2,2021-H2,
fca_firm_level_2022_h1,FCA firm-level complaints,firm-level-complaints-data-2022-h1.xlsx,2022-H1,raw/fca/firm_level/firm-level-complaints-data-2022-h1.xlsx,xlsx,137618,bd53e404416c027d4cd0a1e13730c04961861d73894bb25531938f2bbec3ed03,2026-07-24T10:19:42.829561+00:00,12,"[""Context A Provision"", ""Context B Intermediation"", ""opened"", ""Closed"", ""% closed in 3 days"", ""% >3 days & <8 "", ""% upheld "", ""Consumer Credit"", ""Other Trading Names"", ""Main return joint reporters"", ""consumer credit joint reporters"", ""Notes""]",success,1894,0,2,2022-H1,
fca_firm_level_2022_h2,FCA firm-level complaints,firm-level-complaints-data-2022-h2.xlsx,2022-H2,raw/fca/firm_level/firm-level-complaints-data-2022-h2.xlsx,xlsx,142099,366aeca818ca9f7071cefe9957ba6957c4b900092030459f174c7c0fefd5ac7a,2026-07-24T10:19:42.829561+00:00,12,"[""Context-provision"", ""Context – Intermediation"", ""opened"", ""Closed"", ""closed in 3 days"", ""closed >3 days and less than 8 "", ""upheld "", ""Consumer Credit"", ""Other Trading Names"", ""Main return joint reporters"", ""consumer credit joint reporters"", ""Notes""]",success,1902,0,2,2022-H2,
fca_firm_level_2023_h1,FCA firm-level complaints,firm-level-complaints-data-2023-h1.xlsx,2023-H1,raw/fca/firm_level/firm-level-complaints-data-2023-h1.xlsx,xlsx,165324,da1c81aacd91a95e3769ea55b9a4a3ce8fe5c57c977f0e55bf8269961974ae1f,2026-07-24T10:19:42.829561+00:00,12,"[""Context (Provision)"", ""Context (Intermediation)"", ""Opened"", ""Closed"", ""Closed within 3 days"", ""After 3 days within 8 weeks"", ""Upheld"", ""Consumer Credit"", ""Trading names"", ""Main return Joint reporters"", ""Consumer credit Joint reporters"", ""Notes""]",success,2045,0,3,2023-H1,
fca_firm_level_2023_h2,FCA firm-level complaints,firm-level-complaints-data-2023-h2.xlsx,2023-H2,raw/fca/firm_level/firm-level-complaints-data-2023-h2.xlsx,xlsx,147179,b016e164bfe97a2c1b8a01faaf111d3a9a84d600f6f851dab5717af856bd9c04,2026-07-24T10:19:42.829561+00:00,11,"[""Context (Provision)"", ""Context (Intermediation)"", ""Opened"", ""Closed"", ""Closed within 3 days"", ""After 3 days within 8 weeks"", ""Upheld"", ""Consumer Credit"", ""Trading names"", ""Main return Joint reporters"", ""Consumer credit Joint reporters""]",success,1924,0,2,2023-H2,
fca_firm_level_2024_h1,FCA firm-level complaints,firm-level-complaints-data-2024-h1.xlsx,2024-H1,raw/fca/firm_level/firm-level-complaints-data-2024-h1.xlsx,xlsx,142952,fff38997961baa65432a2742c864e95207fb92b2cbf1dbb800fd99ad77fc2c4f,2026-07-24T10:19:42.829561+00:00,12,"[""Context - Provision"", ""Context - Intermediation"", ""Opened"", ""Closed"", ""Closed within 3 days"", ""After 3 days within 8 weeks"", ""Upheld"", ""Consumer Credit"", ""Trading Names"", ""Main return Joint reporters"", ""Consumer credit Joint reporters"", ""Notes""]",success,2003,0,2,2024-H1,
fca_firm_level_2024_h2,FCA firm-level complaints,firm-level-complaints-data-2024-h2.xlsx,2024-H2,raw/fca/firm_level/firm-level-complaints-data-2024-h2.xlsx,xlsx,130901,aa763117d5090f3e6920ed5e9f4203e6dc7d4e33f2a3cf7e2d357b0d85bbd010,2026-07-24T10:19:42.829561+00:00,11,"[""Context - Provision"", ""Context - Intermediation"", ""Opened"", ""Closed"", ""Closed within 3 days"", ""After 3 days within 8 weeks"", ""Upheld"", ""Consumer Credit"", ""Trading Names"", ""Main return Joint reporters"", ""Consumer credit Joint reporters""]",success,1838,0,1,2024-H2,
fca_firm_level_2025_h1,FCA firm-level complaints,firm-level-complaints-data-2025-h1.xlsx,2025-H1,raw/fca/firm_level/firm-level-complaints-data-2025-h1.xlsx,xlsx,720069,904adaf8915126d8ed061e4d532810d5d7a19a34c883f852e6c0a07746f8c560,2026-07-24T10:19:42.829561+00:00,11,"[""Opened"", ""Closed"", ""Consumer Credit"", ""Percentage within 3 days"", ""Percentage after 3 days, within"", ""Percentage upheld"", ""Context - Intermediation"", ""Context - Provision"", ""Trading Names"", ""Main return Joint reporters"", ""Consumer credit Joint reporters""]",success,10280,0,2,2025-H1,
fca_firm_level_2025_h2,FCA firm-level complaints,firm-level-complaints-data-2025-h2.xlsx,2025-H2,raw/fca/firm_level/firm-level-complaints-data-2025-h2.xlsx,xlsx,113958,5e05a8b8e95a1e2e5e9b8b0bbdae4a22f8f25771b03a2bf19df0512bdacbb49f,2026-07-24T10:19:42.829561+00:00,11,"[""Opened"", ""Closed"", ""Consumer Credit"", ""Percentage within 3 days"", ""Percentage after 3 days, within"", ""Percentage upheld"", ""Context - Intermediation"", ""Context - Provision"", ""Trading Names"", ""Main return Joint reporters"", ""Consumer credit Joint reporters""]",success,1640,0,3,2025-H2,
